"filename", "language", "C++", "Dart", "YAML", "Ini", "Properties", "XML", "Markdown", "Gradle", "CMake", "JSON", "CMake Cache", "C", "SVG", "comment", "blank", "total"
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 0, 62, 132, 804
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 9, 55
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/prefab_config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86_64/.cmake/api/v1/reply/cache-v2-38be3919b7ebb4dd76b9.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1379, 0, 0, 0, 0, 1, 1380
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86_64/.cmake/api/v1/reply/cmakeFiles-v1-45afbe37bebc397da61c.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 799, 0, 0, 0, 0, 1, 800
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86_64/.cmake/api/v1/reply/codemodel-v2-0f62c0299bc76c71dbae.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86_64/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
